age,job,marital,education,race,default,balance,housing,contact,duration,contactndays,signed up,gender
43,self-employed,married,tertiary,white,no,64,no,unknown,230,-1,0,m
74,retired,married,primary,white,no,5539,no,cellular,253,181,0,m
33,management,married,tertiary,hispanic,no,373,no,cellular,384,-1,0,m
37,blue-collar,married,secondary,asian,no,934,no,unknown,258,-1,0,m
30,technician,married,tertiary,white,no,1,no,cellular,69,-1,0,f
46,blue-collar,married,primary,white,no,0,no,cellular,178,-1,0,m
48,management,divorced,secondary,asian,no,635,no,unknown,236,-1,0,f
38,management,married,tertiary,white,no,630,no,cellular,362,388,1,f
35,management,married,tertiary,asian,no,925,no,cellular,200,-1,1,f
29,management,single,tertiary,white,no,265,no,cellular,130,94,1,f
36,services,divorced,secondary,hispanic,no,127,no,cellular,172,-1,0,m
35,blue-collar,single,primary,white,no,3798,no,unknown,19,-1,0,f
54,management,married,unknown,hispanic,no,24,no,cellular,12,-1,0,f
51,management,married,tertiary,white,no,469,no,cellular,491,182,1,f
41,technician,divorced,secondary,hispanic,no,195,no,cellular,260,-1,0,f
26,entrepreneur,single,tertiary,black,no,725,no,cellular,1916,189,1,m
49,technician,divorced,tertiary,hispanic,no,0,no,cellular,68,-1,0,f
40,blue-collar,divorced,secondary,black,no,181,no,unknown,89,-1,0,f
51,services,married,secondary,asian,no,276,no,cellular,217,-1,0,f
59,retired,married,secondary,white,no,242,no,cellular,17,-1,0,f
60,housemaid,married,primary,black,no,211,no,cellular,480,189,0,f
46,services,married,tertiary,asian,no,474,no,unknown,445,-1,0,f
46,blue-collar,married,primary,asian,no,642,no,unknown,110,-1,0,f
49,blue-collar,married,primary,black,no,923,no,unknown,471,-1,0,f
31,student,single,unknown,black,no,643,no,cellular,82,-1,0,f
33,services,single,secondary,asian,no,189,no,unknown,27,-1,0,f
42,technician,divorced,tertiary,black,no,765,no,cellular,78,-1,0,m
40,technician,divorced,secondary,hispanic,no,0,no,cellular,299,-1,0,f
30,management,single,tertiary,asian,no,-672,no,cellular,130,-1,0,m
40,technician,single,secondary,asian,no,2244,no,cellular,58,-1,0,m
57,entrepreneur,married,secondary,asian,no,9902,no,cellular,88,-1,0,f
57,unknown,single,secondary,white,no,316,no,unknown,8,-1,0,m
48,technician,married,secondary,black,no,427,no,unknown,201,-1,0,f
59,retired,married,tertiary,white,no,941,no,cellular,231,210,0,f
31,admin.,divorced,secondary,black,no,2980,no,cellular,930,292,0,m
32,management,single,tertiary,hispanic,no,26,no,cellular,55,-1,0,f
56,admin.,married,secondary,black,no,1694,no,cellular,793,-1,1,f
55,management,married,tertiary,hispanic,no,913,no,unknown,462,-1,0,f
35,unemployed,married,secondary,black,no,978,no,cellular,1370,209,1,f
60,retired,married,primary,hispanic,no,3,no,unknown,227,-1,0,m
52,admin.,married,primary,hispanic,no,813,no,cellular,113,-1,0,m
29,technician,single,secondary,asian,no,6,no,cellular,315,-1,1,m
49,technician,married,primary,black,no,1569,no,cellular,470,196,0,m
57,management,divorced,unknown,white,no,2986,no,cellular,222,231,1,f
53,technician,married,secondary,hispanic,no,1738,no,cellular,168,-1,0,f
27,blue-collar,single,tertiary,hispanic,no,644,no,cellular,657,182,1,m
53,admin.,divorced,unknown,black,no,257,no,cellular,1310,-1,1,f
60,retired,married,secondary,hispanic,no,8332,no,cellular,279,194,1,f
43,blue-collar,married,primary,hispanic,no,3917,no,cellular,725,93,1,f
47,services,married,secondary,hispanic,no,-150,no,cellular,52,-1,0,m
47,management,married,secondary,hispanic,no,2892,no,unknown,556,-1,1,m
34,management,married,tertiary,asian,no,158,no,cellular,278,132,1,f
36,unemployed,married,secondary,hispanic,no,923,no,unknown,6,-1,0,m
56,admin.,married,secondary,black,no,1671,no,cellular,158,-1,0,f
63,retired,married,secondary,asian,no,1495,no,cellular,389,195,1,m
29,student,single,tertiary,asian,no,3054,no,cellular,204,186,0,m
42,management,married,tertiary,white,no,976,no,cellular,164,-1,1,m
38,management,single,tertiary,asian,no,194,no,cellular,561,-1,0,f
70,retired,married,secondary,white,no,2626,no,cellular,140,-1,1,f
34,management,single,tertiary,hispanic,no,5086,no,cellular,213,-1,1,m
45,technician,married,secondary,hispanic,no,297,no,cellular,210,-1,0,f
47,unemployed,married,primary,white,no,324,no,cellular,462,-1,1,f
36,technician,married,secondary,hispanic,no,465,no,cellular,85,-1,0,m
41,management,married,tertiary,asian,no,-195,no,cellular,112,-1,0,f
30,services,married,secondary,asian,no,208,no,cellular,213,-1,0,m
32,management,married,tertiary,black,no,322,no,cellular,101,-1,0,f
45,services,married,secondary,asian,yes,144,no,cellular,95,-1,0,m
31,management,single,tertiary,asian,no,2915,no,cellular,228,86,0,m
51,blue-collar,married,secondary,black,no,700,no,cellular,237,-1,0,m
31,technician,single,secondary,asian,no,1970,no,telephone,284,-1,0,f
36,management,divorced,tertiary,asian,no,608,no,cellular,125,-1,0,f
39,technician,married,tertiary,white,no,206,no,cellular,148,195,1,f
39,technician,married,tertiary,hispanic,no,386,no,cellular,201,-1,0,m
53,unemployed,married,primary,black,no,845,no,cellular,123,-1,0,m
